Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
454	0.12	42.47	2	1	1	0.20071198	0.890896396
455	0.03	18.88	1	1	1	0.498509787	0.642924665
456	0.63	7.72	5	1	1	0.110527249	0.87016231
457	0.06	25	4	1	1	0.277726585	0.8063268
458	0.1	10.77	3	1	1	0.189050166	0.880458428
459	0.18	26.17	2	1	1	0.11283589	0.918979064
460	0.03	47.65	1	1	1	0.425034299	0.717111422
461	0.17	12.31	5	1	1	0.136400876	0.895366582
462	0.06	2.82	4	1	1	0.248423314	0.851541168
463	0.32	16.59	3	1	1	0.103394524	0.913218986
464	0.12	29.05	2	1	1	0.158295506	0.898537058
465	0.33	40.29	1	1	1	0.089422473	0.932241324
466	0.13	5.35	5	1	1	0.175595631	0.868140241
467	0.14	14.33	4	1	1	0.147790066	0.868152168
468	0.22	2.35	3	1	1	0.123780339	0.893163567
469	0.34	9.32	2	1	1	0.115160894	0.88807875
470	0.17	17.22	1	1	1	0.141068645	0.905321607
471	0.19	12.56	5	1	1	0.129974492	0.902707748
472	0.22	5.48	4	1	1	0.14031508	0.903009129
473	0.12	19.79	3	1	1	0.183957507	0.881935331
474	0.38	7.71	2	1	1	0.10415073	0.879358719
475	0.09	45.96	1	1	1	0.213323079	0.872933491
476	0.11	2.98	5	1	1	0.23124719	0.860406503
477	0.14	13.24	4	1	1	0.201235538	0.856971925
478	0.06	0.31	3	1	1	0.293733512	0.801473903
479	0.54	16.49	2	1	1	0.096478179	0.908462812
480	0.15	29.45	1	1	1	0.183287626	0.888496227
481	0.27	8.92	5	1	1	0.170323671	0.878385171
482	0.04	31.36	4	1	1	0.422305215	0.714007858
483	0.08	6.74	3	1	1	0.252248581	0.837357889
484	0.58	21.21	2	1	1	0.103638992	0.899058427
485	0.03	38.08	1	1	1	0.561008059	0.65617697
486	0.09	9.74	5	1	1	0.447755589	0.703489595
487	0.08	34.17	4	1	1	0.438048574	0.713434989
488	0.2	15.02	3	1	1	0.218873645	0.832457585
489	0.26	5.17	2	1	1	0.166536009	0.87711037
490	0.37	24.16	1	1	1	0.138711254	0.901858157
491	0.13	2.76	5	1	1	0.12287989	0.892914592
